car_make,car_model,model_year,car_vin,purchase_date,title,full_name,dealer,rrp,monthly_cost
Ford,Freestar,2003,WAUKH98E58A381109,"on 6/16/2018,",Dr,Cathryn Aloigi,Tagchat,£37484.85,£540.2542348581231 per month
Mazda,626,2002,3C3CFFAR4CT883916,"on 4/27/2018,",Ms,Keen Sives,Flipstorm,£19138.46,£279.55088901296773 per month
Subaru,Baja,2003,1GYFC26209R153521,"on 11/27/2017,",Mrs,Tiffy Baugh,Eabox,£24296.23,£386.1739856281775 per month
Ford,Focus,2009,WAULC58E95A491863,"on 1/24/2020,",Honorable,Fredrick Greenroad,Skidoo,£18775.51,£307.5218717033825 per month
Mercury,Grand Marquis,1995,WAUKG94F56N224154,"on 3/2/2020,",Honorable,Muffin Darlington,Trilith,,
Chevrolet,Express 3500,2008,55SWF4JBXFU052826,"on 7/2/2020,",Ms,Tibold Perring,Eayo,£14587.8,£238.5374389827517 per month
GMC,Savana 2500,2011,2HNYD28317H112307,"on 7/12/2017,",Rev,Lucita Sherville,Twitterwire,£24587.87,£408.7065237196337 per month
Jeep,Wrangler,2006,WAUHFAFL6AA129944,"on 6/26/2019,",Dr,Leena Passion,Skalith,£22550.41,£339.0413487894652 per month
Hummer,H2 SUV,2006,WA1DGAFE8CD833493,"on 5/23/2020,",Rev,Paige Gusney,Kwinu,£31929.8,£516.6526330154364 per month
Lotus,Esprit,2003,KMHFG4JG7CA522773,"on 6/22/2020,",Rev,Raphaela Drayn,Aimbo,£11801.19,£170.22678677631043 per month
BMW,3 Series,2003,5UXFA13596L345456,"on 5/27/2017,",Honorable,Ermentrude Flement,Brightdog,£19388.61,£272.65845602376584 per month
Toyota,Sienna,2000,5TDBCRFH3FS346745,"on 12/28/2018,",Mr,Marje Copcott,Flipopia,£30428.77,£426.86386994481336 per month
Lexus,RX,2013,JN1BV7AP3FM144368,"on 2/17/2017,",Rev,Danika Steade,Rooxo,£75362.22,£1132.5901552173516 per month
Mercedes-Benz,E-Class,2006,1GYS3EEJ5CR628029,"on 5/19/2019,",Rev,Rodrigo Orford,Zazio,£5206.07,£79.87524239189266 per month
Chevrolet,Bel Air,1967,WAUKH78E27A882171,"on 6/25/2019,",Mr,Gayler Andrivel,Jabberbean,£49781.72,£821.5979911001385 per month
Mercury,Mystique,1996,3D73M3HL1BG251311,"on 12/30/2019,",Honorable,Yank Gauvain,Dynabox,£41611.55,£687.9333453754524 per month
Hyundai,Veloster,2013,1C3ADEBZ1DV619737,"on 6/20/2018,",Mrs,Romeo Readings,Photolist,£49881.11,£749.0939681517438 per month
GMC,Canyon,2010,WAUDFBFL9AN907019,"on 2/19/2020,",Rev,Worthy Couves,Voonder,£5992.97,£98.09186833719477 per month
Buick,Century,1989,WBAAV334X1E328145,"on 5/23/2020,",Mr,Bryn Storer,Yadel,£39173.55,£625.1219030908971 per month
Chrysler,Concorde,2002,3D73M3HL6BG685093,"on 7/6/2018,",Honorable,Dina Reboul,Talane,£40152.36,£614.7794453548833 per month
Acura,RSX,2004,1G4HE57Y08U770812,"on 11/2/2019,",Honorable,Claybourne Sabban,Flashdog,£56627.64,£857.2735670793237 per month
Chevrolet,Tahoe,1995,1G6DP57V180342213,"on 9/2/2017,",Mr,Fayina Blackaby,Yadel,£13980.58,£196.41184753027386 per month
Toyota,Tacoma Xtra,1997,SALFR2BG6DH497738,"on 5/13/2020,",Rev,Abraham Davydychev,Yodoo,£11149.54,£170.54744204847412 per month
Ford,Excursion,2002,5BZAF0AA8FN738506,"on 4/6/2017,",Mrs,Alaric Jedrzejkiewicz,Thoughtblab,£9754.12,£145.63216675722518 per month
Chrysler,300M,2004,JN8AF5MR3ET800049,"on 6/28/2017,",Mr,Inness Kampshell,Quatz,£48348.04,£689.8210480655325 per month
Volkswagen,Touareg,2008,1C6RD7JT7CS687961,"on 7/6/2020,",Rev,Christie Okell,Thoughtstorm,£14476.02,£199.31808213407115 per month
Nissan,240SX,1997,WA1VMAFP4FA221912,"on 8/26/2019,",Mrs,Moyna Cawt,Kazio,£31927.74,£446.56000082341035 per month
Lexus,GS,1998,3GTXKYEJ2AG565873,"on 1/31/2019,",Rev,Otis Foynes,Fanoodle,£18303.18,£277.9930521433527 per month
Mazda,Familia,1986,3G5DA03L26S356768,"on 3/1/2019,",Mr,Erich Bim,Youtags,£35050.11,£510.49337674541016 per month
Lamborghini,Gallardo,2006,JH4CU2E81CC314317,"on 11/10/2017,",Ms,Paulette Douglas,Minyx,£49210.38,£767.0017199826648 per month
Acura,Integra,1995,1N4AL3AP7DC191869,"on 4/2/2018,",Rev,Finlay Clemoes,Photolist,£38904.79,£623.369131880621 per month
Dodge,Ram Van 1500,2001,WBANV13569B986993,"on 4/6/2020,",Ms,Rudie Chidley,Avamm,£34266.79,£491.15958151165086 per month
Lexus,ES,2001,3LN6L2LU5DR668115,"on 5/6/2018,",Mr,Quent Goldthorpe,Janyx,£45516.09,£650.139398506102 per month
Mercedes-Benz,SL-Class,1988,WAUMF68P06A408826,"on 7/22/2018,",Rev,Eydie Seddon,Photobug,£40236.1,£568.4510185495094 per month
GMC,1500,1996,YV1672MK3D2528732,"on 9/4/2019,",Rev,Valaree Francesc,Twitterbeat,£24915.22,£386.9178920494529 per month
