car_make,car_model,model_year,car_vin,purchase_date,title,full_name,dealer,rrp,monthly_cost
Chevrolet,Equinox,2010,WAUJC58E02A041683,"on 2/5/2017,",Rev,Cori Cleever,Janyx,£19157.73,£282.74921901505064 per month
Mitsubishi,Pajero,1987,WP0AA2A89BU167146,"on 7/5/2020,",Ms,Audrye Leinster,Wikizz,£53535.41,£787.6556185987355 per month
Pontiac,Aztek,2002,KNDJT2A52D7420907,"on 12/10/2017,",Rev,Danie Eefting,Eimbee,£21201.71,£332.54850252741267 per month
Infiniti,QX,1999,SALSF2D40DA844337,"on 12/24/2018,",Dr,Jessie Hodgon,Edgeify,£28607.79,£432.03722536692976 per month
Chevrolet,Monte Carlo,2004,WVGAK7A97AD469158,"on 9/17/2018,",Ms,Kerwin Karsh,Jaxworks,£12233.81,£189.04771882202667 per month
Ford,Ranger,1993,1GYS3LKJ0FR562969,"on 5/30/2018,",Mrs,Judye Cubin,Fivebridge,£14477.36,£214.9165963411319 per month
Ford,Aerostar,1997,WP0AA2A96DS406286,"on 8/7/2017,",Honorable,Louella Toman,Topicstorm,£38779.23,£608.4175692179368 per month
Nissan,Xterra,2010,19UYA42602A356553,"on 6/21/2017,",Dr,Dehlia Hibling,Dazzlesphere,£24662.16,£363.75645348444334 per month
Volkswagen,New Beetle,2004,SCBBR53W868623777,"on 3/28/2020,",Dr,Annelise Horsley,Yodo,£48650.58,£790.3359504638123 per month
Ford,F350,2004,JN8AZ2NC7E9192713,"on 7/9/2019,",Rev,Aveline South,Wordtune,£21796.72,£318.7332040614073 per month
GMC,Yukon XL 1500,2011,WAUJC68E84A773391,"on 11/15/2018,",Honorable,Philip Tamburi,Edgepulse,£14601.2,£231.9343082193515 per month
Audi,Allroad,2001,1G6AH5R30D0746514,"on 9/21/2018,",Rev,Verney Kauffman,Skynoodle,£19340.84,£299.5243931628475 per month
Honda,Element,2004,WBSDE93451B330351,"on 8/24/2019,",Dr,Konstantine Walmsley,Shufflester,£41597.97,£694.2507013170915 per month
Honda,Odyssey,1996,WA1AY94L17D120943,"on 12/26/2017,",Honorable,Chad Sowerby,Zoomcast,,
Volvo,S80,2008,WAULT68E53A595785,"on 5/4/2018,",Rev,Bond Aucourte,Kazu,,
Chevrolet,Blazer,2003,1GD22XEG4FZ366450,"on 12/10/2019,",Dr,Milissent Keer,Eare,£61351.59,£911.5511528580156 per month
Mitsubishi,Diamante,1998,WAUWGAFCXFN135069,"on 1/29/2019,",Honorable,Rebeca Monkley,Oyoyo,£3618.45,£59.9998039739852 per month
Hyundai,Elantra,1998,JH4CL96818C211609,"on 12/5/2017,",Rev,Gaby Gahan,Brainverse,£24389.29,£406.6551400683853 per month
Mitsubishi,GTO,1992,1G6AB5R33F0779267,"on 8/3/2017,",Honorable,Rhona Scopyn,BlogXS,£17254.48,£274.907412192348 per month
Nissan,Frontier,2004,WBAKF5C51CE284061,"on 4/27/2020,",Mr,Siffre Crighton,Muxo,£2244.47,£33.09659663092355 per month
Ford,Transit Connect,2012,JA32X8HW6DU948184,"on 6/17/2020,",Mrs,Callean Trevallion,Bubbletube,,
Austin,Mini Cooper,1961,WAUDT48HX4K867293,"on 7/6/2017,",Mr,Chrissie Garwood,Wikibox,£26442.38,£365.25673926456716 per month
Chevrolet,Cavalier,1997,2G61T5S38F9479687,"on 1/29/2018,",Honorable,Tracey Roebuck,Feedbug,£76544.93,£1248.0929785997935 per month
Chevrolet,Monte Carlo,1995,1G6KE54Y44U962925,"on 10/28/2019,",Mr,Pauly Stuttman,Dabshots,£23939.97,£379.1376011710222 per month
Mitsubishi,Mirage,2000,JN8AS5MT7CW646948,"on 8/9/2019,",Dr,Dorian Woodman,Shuffletag,£42851.36,£698.4574941147156 per month
Volvo,940,1993,WVWAP7AN4EE511210,"on 1/24/2020,",Ms,Alaine Di Matteo,Thoughtbridge,£47958.36,£758.3754303995609 per month
Toyota,Land Cruiser,2010,KNAGG4A8XA5822389,"on 3/7/2020,",Mr,Karoly Bilham,Leexo,£13938.91,£216.04403392205106 per month
Cadillac,Allante,1992,WAUDGBFL2BA332896,"on 1/8/2020,",Dr,Xymenes Cranny,Twimbo,£26088.77,£420.6860295348913 per month
BMW,5 Series,2002,1G6AB5RX8E0158687,"on 4/28/2019,",Rev,Salomone Aldham,Twimbo,£80727.63,£1141.9136542815968 per month
Cadillac,DTS,2008,2B3CL3CG9BH628587,"on 1/9/2019,",Dr,Odelle Mewrcik,Skippad,£38050.59,£603.4571792806685 per month
Cadillac,Escalade,2012,4T3BA3BB7EU929532,"on 1/10/2020,",Dr,Dani Lilloe,Thoughtbridge,£32609.1,£451.53068981414185 per month
Isuzu,Axiom,2003,JTHBL5EF5B5464254,"on 7/8/2017,",Mrs,Lane Prodrick,Roombo,£42816.82,£643.081819753404 per month
Buick,Regal,1993,1FTEX1EWXAK412045,"on 2/27/2019,",Rev,Garvin Grannell,Babbleset,£70635.56,£979.8982148608342 per month
Holden,Monaro,2004,WDDEJ7EBXCA747115,"on 8/21/2020,",Ms,Kerwin Vasse,Innotype,£17210.0,£245.81756035588054 per month
Lexus,GS,1996,JN1CV6FE1DM813899,"on 11/5/2017,",Mr,Alix Creak,Trilia,£21088.31,£303.0935363450285 per month
BMW,530,2006,WA1YD64B84N136675,"on 9/1/2018,",Ms,Dennie Frohock,Rhyzio,£2346.27,£32.88668744150717 per month
Mazda,MX-6,1994,1G6DJ8E39C0582610,"on 6/23/2020,",Rev,Terese Sheaf,Yabox,£37927.79,£571.5073465552349 per month
Oldsmobile,88,1992,1G4HR54K52U963758,"on 2/11/2017,",Honorable,Edouard Dumke,Bluezoom,£8239.64,£116.92334530835869 per month
Kia,Sorento,2003,JTMHY7AJ4B4257055,"on 3/4/2020,",Rev,Etta Peacop,Dabvine,,
Mitsubishi,Cordia,1987,SAJWA4FB6EL886047,"on 2/5/2019,",Dr,Tedie Horley,Shufflester,£38312.64,£528.88665476774 per month
Nissan,Frontier,2012,WBADW3C50DJ188590,"on 3/6/2018,",Dr,Ebenezer MacArthur,Livetube,£16591.0,£241.40365528453341 per month
Chrysler,Town & Country,2000,1G4PR5SK6C4968807,"on 7/31/2017,",Ms,Riva Nunnerley,Quire,£29224.41,£478.27521629471323 per month
Ford,F150,2006,1FTSX2B58AE604034,"on 5/25/2019,",Honorable,Wynnie Woolpert,Demimbu,£44100.31,£661.7511887475166 per month
Subaru,Forester,2010,2T1BURHE9EC999863,"on 9/26/2019,",Rev,Marianne Dykins,Topicshots,£381.9,£5.612540089904816 per month
Ford,F350,2006,WAUJT54B04N905722,"on 8/2/2019,",Mr,Hussein O'Donnell,Zoombeat,£9458.99,£152.04077705466136 per month
Chevrolet,Lumina,1998,1C4PJLAB4EW660107,"on 9/14/2018,",Dr,Vanni Longrigg,Tagtune,£8284.75,£124.4744036727431 per month
Toyota,Sienna,2009,1G6DL5EG0A0149640,"on 1/3/2019,",Mrs,Agata Keeley,Zoozzy,£24122.25,£336.44870468003916 per month
Scion,tC,2012,WBAYM1C54ED709919,"on 2/22/2019,",Honorable,Benita Pryell,Buzzshare,£21257.81,£310.0775760091758 per month
Nissan,Titan,2009,WUARL48HX5K898752,"on 1/4/2019,",Mrs,Marika Stell,Edgetag,£15578.57,£227.184585685252 per month
Pontiac,1000,1985,JM1NC2LF8D0139954,"on 5/21/2018,",Dr,Hynda Normanville,Livepath,£7524.82,£112.14579942766872 per month
Mercedes-Benz,C-Class,2012,1FAHP2DW2BG560482,"on 5/31/2017,",Rev,Shae Vaneev,Roodel,£16177.26,£246.50809654804286 per month
Volvo,XC90,2011,JTEBU5JR8F5445309,"on 7/25/2018,",Honorable,Stace Sparhawk,Meejo,£42530.66,£706.5862032334712 per month
Hummer,H2,2006,WVGAV7AX6CW545255,"on 7/6/2017,",Honorable,Geno Hawe,Browsezoom,£25367.64,£404.56071082069695 per month
Nissan,Frontier,2007,WAUFFAFL8EA996341,"on 12/25/2017,",Rev,Lenette Pascall,Snaptags,£39312.82,£642.2101832854104 per month
Mitsubishi,Diamante,2004,1FTSX2A50AE010264,"on 1/17/2020,",Mr,Haroun Sellan,Brainverse,£12909.58,£207.36332758795425 per month
Buick,LeSabre,1999,WA1VKBFP5AA731920,"on 1/25/2018,",Ms,Geri Redan,Twitternation,£25504.04,£414.28071135675344 per month
Land Rover,Discovery Series II,2002,5UXZV4C54BL638405,"on 2/25/2017,",Mrs,Gavrielle Carren,Layo,£77856.28,£1110.227735186683 per month
Mercedes-Benz,G-Class,2011,WAUEF98E97A678045,"on 8/27/2020,",Honorable,Timmi Esgate,Wikibox,£2254.12,£31.16115531009093 per month
GMC,Envoy,2002,WAUEKAFB0AN669028,"on 7/21/2019,",Mrs,Regan Rioch,Browsetype,£40285.84,£563.981817250014 per month
Mazda,929,1987,3D7JB1EK6BG335928,"on 10/15/2017,",Rev,Marvin Yewen,Zoozzy,£12895.99,£180.44408843863914 per month
Buick,LaCrosse,2007,JM3TB2BAXD0991505,"on 8/25/2018,",Honorable,Waldemar Wilse,Skajo,£29038.52,£423.83624496373324 per month
Lexus,LX,1997,WAUPL58E65A219756,"on 9/16/2019,",Rev,Lacee Coultass,Voomm,£71267.14,£1034.3564362895318 per month
Dodge,Ram 3500 Club,1996,ML32A3HJ1EH634661,"on 6/9/2017,",Ms,Margarita Gifkins,Bluezoom,£73799.96,£1019.3045282581587 per month
Mercury,Cougar,1970,JTHBE5C29C5834875,"on 6/3/2019,",Dr,Dareen Pagelsen,Trilia,£35676.64,£565.7620892838142 per month
Mitsubishi,3000GT,1994,1N6AA0EJ2FN161333,"on 7/22/2019,",Mrs,Bevvy Lindeboom,Twitterbridge,£24847.9,£358.5960533379152 per month
Mitsubishi,Pajero,1992,3VWPG3AG7AM148357,"on 11/14/2017,",Dr,Brunhilda Simunek,Roombo,£41077.71,£638.6667970039548 per month
Jaguar,XJ Series,1992,JTHFN2EY5A9304135,"on 5/7/2020,",Rev,Ambur Union,Avavee,£35568.1,£580.9008457204836 per month
Chevrolet,Avalanche 1500,2003,WAUSH94F18N708046,"on 12/1/2017,",Mrs,Thornton Mangham,Thoughtmix,£54646.19,£807.892748440334 per month
Ford,F-Series,2001,W04GR5EC0B1899163,"on 7/26/2017,",Dr,Bria D'eye,Voonix,£38768.16,£567.6203269010945 per month
GMC,Rally Wagon 1500,1993,3LN6L2LU4DR732838,"on 1/30/2019,",Rev,Ethelbert Goudge,Youfeed,£17177.97,£256.26168023357866 per month
Nissan,Murano,2007,5N1BA0NC5FN011110,"on 7/18/2019,",Rev,Denis Piecha,Realblab,,
Volvo,XC70,2005,19UUA56723A061981,"on 7/31/2017,",Rev,Christoffer Highwood,Realbridge,£39720.28,£591.9653709639659 per month
Kia,Sorento,2003,JA32X2HU8DU400523,"on 6/14/2020,",Rev,Morganne Winterbotham,Topicstorm,£1261.13,£19.275215875698517 per month
Saturn,S-Series,1999,YV440MBC3F1346088,"on 9/3/2018,",Dr,Janelle Broomhead,InnoZ,£28265.13,£449.602296299274 per month
Buick,Regal,1985,KM8JT3AC6AU246692,"on 1/1/2019,",Mr,Tracey Aysh,Eimbee,£39475.08,£618.5025264881293 per month
Mercury,Marauder,2004,5BZAF0AA9FN231565,"on 11/10/2018,",Mrs,Rossie Axworthy,Podcat,£20013.44,£293.5696584297486 per month
Buick,Regal,2004,JN8AS5MT0DW697385,"on 3/6/2017,",Dr,Guinevere O'Dougherty,Cogilith,£52858.06,£773.710305560569 per month
Chevrolet,Corvette,1998,137FA90361E195583,"on 5/4/2018,",Mr,Dora Kramer,Zooveo,£37668.19,£619.3231124525013 per month
Mitsubishi,Chariot,1989,1G4HR54K344377398,"on 11/6/2018,",Honorable,Mair Gisburn,Bubbletube,£24248.23,£400.9075373290426 per month
Cadillac,Escalade,2000,19UUA8F23BA471953,"on 5/14/2017,",Dr,Adriaens Cassidy,Meetz,£64529.53,£942.2330507870184 per month
Ford,Windstar,2002,JTHSE5BC4F5348134,"on 2/27/2017,",Dr,Anetta Novacek,Quamba,£48386.92,£738.5101565467364 per month
Geo,Prizm,1995,3G5DA03E44S732286,"on 7/22/2018,",Dr,Fawn Fraser,Skiptube,£54208.07,£798.4290896557911 per month
Cadillac,DTS,2010,WAUEG98E16A262647,"on 3/28/2018,",Mrs,Kenyon Skurm,Kamba,£23698.41,£360.6129075472925 per month
Volvo,S60,2011,WAUJT54BX3N943618,"on 3/3/2018,",Mrs,Archibold O'Bradden,Yakijo,£59109.67,£905.041254286846 per month
Nissan,Frontier,2009,3GYT4LEF1CG050240,"on 10/25/2017,",Mrs,Lee Gisbey,Feednation,£24612.69,£340.7278569002382 per month
GMC,Yukon XL 2500,2001,JM1GJ1T65E1007271,"on 2/27/2019,",Mrs,Britteny Shemelt,Vinder,£42479.75,£710.4844032258078 per month
Maserati,GranTurismo,2011,JHMZF1C61CS360560,"on 1/13/2018,",Dr,Caryn Sangra,Quatz,£16036.72,£263.54887252032614 per month
Chevrolet,Silverado,2011,WAUBGAFB3AN755244,"on 1/5/2019,",Mr,Merrile Klosser,Realpoint,£46218.03,£757.6058141906383 per month
BMW,X5,2001,TRURD28N661831860,"on 11/25/2017,",Mrs,Trace Carmichael,Gabtype,£6506.12,£106.62520606620848 per month
Mercedes-Benz,CLK-Class,2000,WAUHGAFC8FN490010,"on 4/7/2018,",Mrs,Florence Vanyard,Dynava,£33421.86,£541.3559483086085 per month
GMC,Yukon XL 1500,2011,5N1AL0MM0DC342895,"on 7/18/2017,",Rev,Den Margaritelli,Skaboo,£13730.94,£196.1746719353944 per month
GMC,Sierra 3500,2003,1G6KY54941U431963,"on 4/24/2017,",Dr,Georgia Sarvar,Thoughtbeat,£29912.16,£477.74798338752925 per month
Dodge,D250 Club,1993,WBA3D3C57FK232888,"on 10/14/2018,",Rev,Ewell Drackford,Zoombeat,£50581.98,£829.3693906576602 per month
Nissan,Cube,2010,WAUVT68E75A542114,"on 7/12/2017,",Mr,Agathe Sydry,Teklist,£24486.42,£351.0808473331788 per month
Lexus,GS,2010,1G4HE5EM3AU177788,"on 1/14/2020,",Ms,Fletcher Verden,Linkbuzz,£27958.89,£460.9566170723198 per month
BMW,Z4,2012,1G4GC5GR7CF728922,"on 6/9/2018,",Dr,Ceil Gallager,Ntags,£25122.89,£383.8220444558509 per month
Toyota,Camry,2012,WAUKFAFL1CN388407,"on 10/19/2017,",Honorable,Amory Gentric,Youspan,£15401.72,£245.36200163999683 per month
Maybach,57,2009,WVGDF9BP6ED467627,"on 7/11/2019,",Rev,Minnie Fleeming,Fivechat,£66085.58,£942.9494373379172 per month
Lamborghini,Countach,1985,WAUAF98E55A437661,"on 1/26/2018,",Dr,Gratiana Dunleavy,Pixope,£47133.54,£710.3794475317321 per month
Mercedes-Benz,300CE,1993,1N6AA0CA1EN524948,"on 5/2/2018,",Mrs,Dougy Borzoni,Zoombox,£21074.21,£319.9885642198052 per month
Dodge,Durango,2006,3D7JV1EP0AG808546,"on 8/31/2020,",Mrs,Shayla Chrishop,Oyondu,£18132.37,£301.43881596486705 per month
Kia,Spectra,2009,WBA5B1C57FD210185,"on 11/11/2019,",Mr,Cash Tremmel,Brainverse,£19845.64,£283.48478396417516 per month
Aston Martin,DBS,2011,1GYS3JKJ9FR316359,"on 6/5/2020,",Mr,Pepito Dabourne,Realpoint,£31863.18,£496.31391191557816 per month
Cadillac,Escalade,2007,WBAWB33598P013780,"on 2/15/2019,",Rev,Jacqueline Whitesel,Linktype,£25657.64,£391.60434495793663 per month
Porsche,Boxster,2000,WBABW33415P579888,"on 2/14/2020,",Mrs,Walliw Goves,Twimbo,£38376.62,£640.234232031903 per month
Chevrolet,Corvette,1978,1FTWW3DY8AE257614,"on 4/4/2019,",Mrs,Clementine Hawes,Vimbo,£18160.82,£262.6126308599037 per month
Buick,Terraza,2006,1FTSW2A53AE923801,"on 4/22/2017,",Mr,Dinnie Varker,Aibox,£12652.55,£178.8711667980513 per month
Ford,LTD,1985,1G6DL1ED7B0334929,"on 8/25/2017,",Mr,Monte Treace,Gigaclub,£23163.63,£327.7834427919966 per month
Chevrolet,Avalanche,2011,ZFBCFADHXFZ020412,"on 3/22/2020,",Ms,Eustacia Fetterplace,Oozz,£49441.14,£764.4744146067885 per month
Toyota,MR2,2002,1FTEX1CMXDK598451,"on 2/21/2017,",Mrs,Sammy Robinett,Tagpad,£29512.91,£443.91661945826417 per month
Toyota,4Runner,2001,3C4PDDBG9FT626100,"on 11/20/2017,",Ms,Colan Donnett,Katz,£49397.29,£762.2640706801167 per month
Lamborghini,Gallardo,2009,3VW517AT0EM065775,"on 5/1/2018,",Rev,Annecorinne Redmire,Voomm,£14184.21,£233.44892357418044 per month
Nissan,240SX,1996,WAULD64B92N542720,"on 7/25/2020,",Ms,Teriann Bew,Photospace,£27079.9,£446.3890573848622 per month
Ford,F-Series,2009,3N1CE2CP2FL880510,"on 4/4/2020,",Dr,Cindi Brafferton,Gabcube,£57301.45,£881.8514242328563 per month
Land Rover,Range Rover,2012,2LNBL8CV5AX892055,"on 5/11/2018,",Mrs,Vinnie Elsie,Skimia,£18103.84,£258.97633208352823 per month
Ford,Explorer Sport,2003,3VW4S7ATXEM303611,"on 2/3/2017,",Mrs,Darice Rackham,Gevee,£41844.07,£644.7496971656352 per month
Ford,Freestar,2007,2HNYB1H69DH223211,"on 11/15/2017,",Mr,Kaycee Klaes,Devbug,£49850.29,£830.6713484407123 per month
BMW,1 Series,2010,WBAFU9C57CC008008,"on 11/18/2017,",Mrs,Ev Bentke,Photobean,£53715.11,£853.5406407674692 per month
Ford,Bronco II,1987,WBAFR9C55DC202846,"on 5/5/2020,",Ms,Artur Bruckner,Ntags,£40274.08,£638.5219781618634 per month
Jaguar,XJ Series,1999,1FTWW3B51AE611272,"on 8/9/2020,",Mrs,Mabelle Loxton,Quatz,£34969.19,£564.2592637142421 per month
Saturn,S-Series,2002,JM1GJ1T52E1173318,"on 5/21/2018,",Ms,Eleonore Carnew,Eidel,£24453.09,£379.6656172363994 per month
Honda,Ridgeline,2012,JA32U1FUXDU017978,"on 4/9/2019,",Ms,Issy Keymar,Shufflester,£15344.46,£245.9560921001548 per month
Mercedes-Benz,CL-Class,2006,1FTEW1CW8AF745634,"on 7/18/2020,",Honorable,Lelia Elstub,Zoomdog,£39830.52,£583.7204856073331 per month
Mitsubishi,Diamante,1994,WDDGF4HB8DF449025,"on 2/24/2020,",Mr,Forester Thirlaway,Quire,£37578.16,£576.537696409281 per month
GMC,Sierra 3500,2010,WAUVC58E14A732192,"on 5/26/2019,",Honorable,Therine Draaisma,Twitternation,,
Isuzu,Hombre Space,1998,5FPYK1F27AB703858,"on 5/7/2017,",Ms,Shermy Garcia,Skiptube,£5426.46,£82.61207280755252 per month
Suzuki,XL7,2009,2C4RDGEG1DR316657,"on 3/19/2017,",Mr,Tally Bresman,Topdrive,£1887.66,£26.62483336544921 per month
Mazda,Protege,2003,SAJWA4DC9AM791062,"on 3/10/2019,",Rev,Lefty Raiman,Brainverse,£1045.41,£17.346117464949582 per month
Toyota,Corolla,1999,WAUZL64B41N464181,"on 1/31/2019,",Dr,Sidonia Precious,Pixope,£27881.67,£425.5680356170874 per month
Mercedes-Benz,S-Class,1998,5TDBY5G11ES712647,"on 5/10/2017,",Rev,Bail Gonzalvo,Kazio,£51089.92,£817.9223635527078 per month
GMC,Yukon,2002,WAUDFAFL2EN576185,"on 5/9/2018,",Dr,Dulciana Hamblyn,Brainlounge,£40372.13,£565.1782933783522 per month
Chrysler,PT Cruiser,2005,3VWML7AJXCM777678,"on 1/1/2020,",Dr,Becca Dell Casa,Yotz,£35925.45,£596.4968888782522 per month
Buick,Regal,1997,WA1DGBFE2ED395210,"on 4/1/2017,",Mr,Gard Watting,Realbridge,£12837.68,£182.13920814541729 per month
Nissan,Frontier,2008,1N4AL2AP3BC979278,"on 1/18/2019,",Mr,Blythe Ruecastle,Vipe,£6723.49,£111.02782897589262 per month
Toyota,Highlander,2011,WBA3D5C51EK441182,"on 2/18/2017,",Dr,Simeon Jaouen,Brainverse,£114.11,£1.5680910515161788 per month
