car_make,car_model,model_year,car_vin,purchase_date,title,full_name,dealer,rrp,monthly_cost
Toyota,Land Cruiser,2002,1G6DK67V480905355,"on 5/28/2017,",Mr,Kissiah Marwick,Voolia,£35990.08,£586.675016356132 per month
Ford,Fiesta,2001,1G4HD57267U545078,"on 7/1/2019,",Honorable,Louisette Hanniger,Voonix,£28451.59,£428.29660653379057 per month
Lexus,RX Hybrid,2007,WP1AA2A27BL467989,"on 12/28/2018,",Rev,Orella McLise,Jabbersphere,£34373.27,£535.4903487666945 per month
Lincoln,Town Car,1993,KNADM5A36D6414900,"on 12/14/2018,",Mrs,Dominique Lescop,Devpulse,£23537.74,£376.45216516326485 per month
Volkswagen,Jetta,1993,WA1WMBFE7CD699566,"on 4/13/2020,",Dr,Earle Lloyds,Yakidoo,£59768.0,£904.3204206790776 per month
Mercedes-Benz,CL-Class,2010,5FRYD3H24GB926586,"on 6/25/2019,",Mr,Tarrance Bannerman,Nlounge,£58085.02,£913.507171994033 per month
Lexus,LS,2004,JN8AS5MT2FW555705,"on 5/10/2017,",Rev,Una O'Scollee,Eimbee,£36504.8,£587.0602796477671 per month
Mercedes-Benz,Sprinter 2500,2012,WBASN2C50BC168295,"on 2/17/2019,",Mrs,Enoch Grandin,Photobug,£18894.97,£299.43247636482056 per month
Mazda,Mazda5,2007,2G4WS55J931289449,"on 4/6/2019,",Honorable,Gardie Missen,Muxo,,
Mercedes-Benz,CLK-Class,2005,1FTWW3B59AE190966,"on 10/5/2017,",Mrs,Granville Aymes,Yakidoo,£28650.72,£398.9696918414082 per month
MINI,Cooper,2011,JH4CU2F86EC621161,"on 5/31/2018,",Ms,Susette Szymczyk,Wikibox,£27837.85,£426.6056449288352 per month
Volkswagen,Cabriolet,1989,1G6KE57Y13U724198,"on 9/15/2019,",Rev,Kori Hargitt,Voonte,£60442.26,£841.6188397786052 per month
BMW,X6,2010,WBAUN7C54DV340275,"on 10/11/2018,",Honorable,Fenelia Lauchlan,Linkbridge,£46027.81,£676.7138932389641 per month
Nissan,Sentra,1995,JM1NC2PF5E0498285,"on 10/22/2018,",Ms,Beau Pammenter,Linklinks,£25305.6,£402.9392602239111 per month
Ford,Focus,2003,WDBWK5EA6BF799509,"on 7/5/2017,",Mr,Rheba Schubuser,Pixoboo,£57225.84,£835.6280313191278 per month
Maserati,228,1990,WBAUC9C54CV435080,"on 8/22/2017,",Rev,Jobyna Sparshatt,Babbleset,£16808.04,£255.53240532839803 per month
Ford,E350,2006,WBA3K5C58EF472959,"on 3/10/2019,",Rev,Alfredo Butfield,Buzzbean,£44398.06,£637.8028392805908 per month
